facility_chars.Fac_Name,facility_types.Fac_Type,facility_chars.Fac_Add,facility_chars.Fac_TMK,facility_chars.GW_Risk,facility_chars.Fac_Area_Acre,facility_chars.Fac_Area,facility_chars.Bldg_Area,facility_chars.Pave_Area,facility_chars.Unpave_Area,facility_chars.Imperv,facility_chars.Tm,facility_chars.Runoff_Coeff,facility_chars.Length,facility_chars.Char_Ground,facility_chars.Fac_Slope,facility_chars.TC,facility_chars.CF,facility_chars.Q_Peak,facility_chars.WQV,facility_chars.Des_Storm_Depth,facility_chars.Runoff_Coeff2,facility_chars.Imperv2,facility_chars.Fac_Area2,facility_chars.WQFR,facility_chars.Runoff_Coeff3,facility_chars.WQ_Intensity,facility_chars.Fac_Area3,facility_chars.OP_Shutdown,facility_chars.Soil_Type,facility_chars.FP_100_Year,facility_chars.Num_Ind_DP,facility_chars.Runoff_Type,facility_chars.Ex_Struct_BMP,facility_chars.Count_Pipe,facility_chars.Count_Sheet,facility_chars.Count_CB,facility_chars.Count_Chan,facility_chars.Count_DS,facility_chars.Count_TD,facility_chars.SMA_Area,facility_chars.OFFSITE_SD_Exist,facility_chars.DS_SS_Exist,facility_chars.EM_Area,facility_chars.Dmg_Pave,facility_chars.TFMR_Exist,facility_chars.Can_Add_SD,facility_chars.Indus_Area,facility_chars.Indus_WQV,facility_chars.Indus_WQFR
Kalihi-Palama Bus & Paratransit Facility,Bus Maintenance Facility,"611 and 811 Middle Street 
Kapaa Closed Sanitary Landfill,Closed Sanitary Landfill,"Kapaa Quary Road
Kailua, Hawaii 96744",(1) 4-2-015:003 & 4-2-015:004,low,153.6,6690816,0,0,6690816,0,2.75,0.3,672.04,Dense Grass,0.116,24,1.6,202.752,27878.4,1,0.05,0,153.6,27.648,0.3,0.4,153.6,0,Quarry,Undetermined area,3,Sheet Flow / Piped Outlet / Catch Basin to Piped Outlet,Detention Pond,1,1,1,0,0,0,No,No,No,0,0,No,No,6690816,27878.4,27.648
Pali Golf Course,Golf Course,"45-050 Kamehameha Highway
Kaneohe, Hawaii 96744",(1) 4-5-035:001 and (1) 4-5-035:009,Medium,4.18,182080.8,29511.75,111797.45,40771.6,0.776079631,3.25,0.9,461.59,Paved,0.0889,6,2.75,33.622875,11356.86,1,0.748471668,0.776079631,4.18,2.2572,0.9,0.4,4.18,0,Clay,Unstudied Areea,5,Catch Basin to Piped Outlet,0,0,1,4,0,0,0,0,Yes,No,1860,0,No,N/A,182080.8,11356.86,2.2572
Ted Makalena Golf Course,Golf Course,"93-059 Waipio Point Access Road
Waipahu, Hawaii 96797","9-3-002 : 030, 031, 033, and 034",High,0.73,31798.8,9150.13,19446.73,3201.94,0.899306263,2.3,0.9,170.05,Paved,0,7.5,2.5,3.77775,2277.2595,1,0.859375637,0.899306263,0.73,0.3942,0.9,0.4,0.73,0,Clay,Unstudied Area,3,Catch Basin to Piped Outlet,0,0,1,2,0,0,0,0,Yes,Yes,2260,0,No,N/A,31798.8,2277.2595,0.3942
Ala Wai Golf Course,Golf Course,"404 Kapahulu Avenue
Honolulu, Hawaii 96815","2-7-036 : 002, 009, and 078",High,4.95,215622,29321.97,161863.75,24436.28,0.886670748,2.2,0.9,196.79,Paved,0.0253,6,2.75,26.95275,15237.354,1,0.848003673,0.886670748,4.95,2.673,0.9,0.4,4.95,0,Fill Land,Yes,7,Catch Basin to Piped Outlet,0,0,1,6,0,0,0,0,Yes,Yes,0,0,No,N/A,215622,15237.354,2.673
Ewa Villages Golf Course,Golf Course,"91-1760 Park Row Street
Ewa Beach, Hawaii 96706",9-1-017: 060 and 9-1-019 : 018,Low,0.99,43124.4,13328.98,21375.87,8419.55,0.804761342,2.25,0.9,288.36,Paved,0.0035,9,2.4,4.8114,2782.54875,1,0.774285207,0.804761342,0.99,0.5346,0.9,0.4,0.99,0,Clay,No,5,Catch Basin to Piped Outlet,0,0,1,4,0,0,0,0,Yes,Yes,300,0,No,N/A,43124.4,2782.54875,0.5346
Kahuku Golf Course,Golf Course,"56-501 Kamehameha Highway
Kahuku, Hawaii 96731",(1) 5-6-002:048,High,1.55,67518,2504.48,33539.92,31473.6,0.533848751,2.75,0.9,250.14,Paved,0.036,6,2.75,10.5496875,2984.655,1,0.530463876,0.533848751,1.55,0.837,0.9,0.4,1.55,0,Sand,No,Catch Basin to Piped Outlet,0,0,0,1,3,0,0,0,0,0,0,0,0,No,N/A,67518,2984.655,0.837
West Loch Golf Course,Golf Course,"91-1126 Okupe Street
Ewa Beach, Hawaii 96706",(1) 9-1-017:006 and (1) 9-1-017:060,Low,1.26,54885.6,22073.42,25805.35,7006.83,0.872337553,2.3,0.9,280.53,Paved,0.0071,6.75,2.6,6.78132,3819.59775,1,0.835103798,0.872337553,1.26,0.6804,0.9,0.4,1.26,0,Clay,No,1,Sheet Flow,None,0,1,0,0,0,0,0,No,No,220,0,No,N/A,54885.6,3819.59775,0.6804
Kailua Corporation Yard,Corporation Yards,"42-377 Kalanianaole Highway
Kailua, Hawaii, 96734",(1) 4-2-098:047,Medium,4.88,212572.8,29793,95198,87581.8,0.587991502,2.8,0.85,453,Paved,1,8,2.5,29.036,10260.045,1,0.579192352,0.587991502,4.88,2.4888,0.85,0.4,4.88,0,Clay,Undetermined area,1,Catch Basin to Piped Outlet,GISB,0,0,1,0,0,0,No,Yes,No,270,0,Yes,Yes,212572.8,10260.045,2.4888
Kaneohe Corporation Yard,Corporation Yards,"46-231 Kamehameha Highway,
Kaneohe, Hawaii, 96744",(1) 4-6-004:020,High,5.167401286,225092,34559,122948,67585,0.699744993,2.8,0.9,1007,Paved,0.02,9.5,2.3,29.95025785,12750.90833,1,0.679770494,0.699744993,5.167401286,2.790396694,0.9,0.4,5.167401286,0,Clay,YES,1,Channelized Flow,Vegetated Swale,0,0,0,1,0,0,Yes,Yes,Yes,530,0,Yes,Yes,225092,12750.90833,2.790396694
Kapaa (AES) Corporation Yard,Corporation Yards,"100 Kapaa Quarry Road
Kailua, Hawaii, 96734",(1) 4-2-015:005,Medium,4.071349862,177348,42173,86493,48682,0.725500147,2.8,0.85,165,Paved,0.015,5,2.75,26.64698485,10388.9,1,0.702950132,0.725500147,4.071349862,2.07638843,0.85,0.4,4.071349862,0,Quarry,NO,1,Catch Basin to Piped Outlet,Detention Pond,0,0,1,0,0,0,Yes,Yes,No,0,0,Yes,Yes,177348,10388.9,2.07638843
Kapolei Corporation Yard,Corporation Yards,"91-140 Olai Street
Kapolei, Hawaii, 96707",(1) 9-1-026:004,High,5.876010101,255959,41634,159894,54431,0.787344848,2.25,0.85,234,Paved,0.005,7,2.6,29.21846023,16181.09583,1,0.758610363,0.787344848,5.876010101,2.996765152,0.85,0.4,5.876010101,0,Coral,Undetermined Area,1,Catch Basin to Piped Outlet,OWS,0,0,1,0,0,0,No,Yes,No,500,0,Yes,Yes,255959,16181.09583,2.996765152
Kokea (PBEM) Corporation Yard,Corporation Yards,"455 Kokea Street
Honolulu, Hawaii 96817",(1) 1-5-020:009,High,1.852226814,80683,31911,25908,22864,0.716619362,2.25,0.85,153,Paved,0.005,6,2.7,9.564436209,4672.604167,1,0.694957426,0.716619362,1.852226814,0.944635675,0.85,0.4,1.852226814,0,Fill Land,No,1,Catch Basin to Piped Outlet,None,0,0,1,0,0,0,No,Yes,Yes,0,0,Yes,Yes,80683,4672.604167,0.944635675
Laie Corporation & Refuse Collection Yard,Corporation Yards,"56-020 Kamehameha Highway
Laie, Hawaii 96762",(1) 5-6-006:001,High,6.56184573,285834,13034,84654,188146,0.341764801,2.8,0.85,264,Paved,0.05,4,2.9,45.28985923,8517.575,1,0.35758832,0.341764801,6.56184573,3.346541322,0.85,0.4,6.56184573,0,Jaucas Sand,No,2,Sheet Flow / Channelized Flow,Gravel Swale,0,1,0,1,0,0,No,No,No,330,0,Yes,No,285834,8517.575,3.346541322
Manana (DPR-MSS) Corporation Yard,Corporation Yards,"1001 Makolu Street
Pearl City, Hawaii 96782",(1) 9-7-024:041,Low,9.151285583,398630,109769,191714,97147,0.75629782,2.4,0.85,610,Paved,0.02,7.7,2.5,46.67155647,24272.18333,1,0.730668038,0.75629782,9.151285583,4.667155647,0.85,0.4,9.151285583,0,Loam,No,2,Catch Basin to Piped Outlet/Sheet Flow,None,0,1,1,0,0,0,No,Yes,Yes,630,0,Yes,Yes,398630,24272.18333,4.667155647
